gladly_id,bosapin_handle,shopify_question,gladly_question,shopify_answer,gladly_answer,updated_time
ZVuxP-1QQwWEsgV_K2Zpeg,Sapin-1,Quelles sont les grandeurs de sapin disponibles?,Quelles sont les grandeurs de sapin disponibles?,"<p>Nous avons toutes les grandeurs que vous voulez, en commençant par l'arbre de table, soit de 3 pieds, jusqu'à l'arbre de 12 pieds. Si vous désirez commander un sapin de plus de 10 pieds, vous devez nous contacter via le <a href=""/pages/contact?question=je-veux-commander-un-sapin-de-plus-de-10-pieds"" title=""/pages/contact?question=je-veux-commander-un-sapin-de-plus-de-10-pieds"">formulaire de contact </a>puisque ces sapins doivent faire l'objet d'une livraison spéciale dû à leur grandeur.   </p>","<div>Nous avons toutes les grandeurs que vous voulez, en commençant par l&#39;arbre de table, soit de 3 pieds, jusqu&#39;à l&#39;arbre de 12 pieds. Si vous désirez commander un sapin de plus de 10 pieds, vous devez nous contacter via le <a href=""https://www.bosapin.com/pages/contact?question=je-veux-commander-un-sapin-de-plus-de-10-pieds"" rel=""noopener noreferrer nofollow"" target=""_blank"">formulaire de contact</a> puisque ces sapins doivent faire l&#39;objet d&#39;une livraison spéciale dû à leur grandeur.</div>",2025-06-29 22:30:39.561167
gCeulcrGQuSRBSC0tJ4JBw,Sapin-2,Puis-je commander une grande quantité de sapins?,Puis-je commander une grande quantité de sapins?,"<p>Il n'y a pas de maximum quant au nombre de sapins qu'il est possible de commander. Tant que l'inventaire le permet, vous pouvez commander autant de sapins que vous le souhaitez sur le site web. Par contre, si vous effectuez une commande de plus de 20 sapins, SVP nous contacter via le <a href=""/pages/contact?question=je-veux-commander-plus-de-20-sapins"" title=""/pages/contact?question=je-veux-commander-plus-de-20-sapins"">formulaire de contact</a> également afin de valider votre date de livraison. Il est possible que nous devions déplacer votre livraison si celle-ci doit être faite avec un camion spécifique.</p>","<div>Il n&#39;y a pas de maximum quant au nombre de sapins qu&#39;il est possible de commander. Tant que l&#39;inventaire le permet, vous pouvez commander autant de sapins que vous le souhaitez sur le site web. Par contre, si vous effectuez une commande de plus de 20 sapins, SVP nous contacter via le<a href=""https://www.bosapin.com/pages/contact?question=je-veux-commander-plus-de-20-sapins"" rel=""noopener noreferrer nofollow"" target=""_blank""> formulaire de contact</a> également afin de valider votre date de livraison. Il est possible que nous devions déplacer votre livraison si celle-ci doit être faite avec un camion spécifique.</div>",2025-06-29 22:30:39.561167
wuOZWF0rSHK6soEP7PJoAg,sap-difference-type,Quelle est la différence entre chaque type de sapin?,Quelle est la différence entre chaque type de sapin?,"<p>Le sapin baumier est celui qui a la meilleure odeur et qui a les branches les plus denses (fournies). Le sapin fraser est celui qui a la meilleure rétention des épines et il a des branches plus rigides, mais sa forme est moins parfaite. Ses épines sont plus foncées que le baumier. Le cook est un croisement entre ces deux sapins, il est dense comme le baumier, mais il garde mieux ses épines que ce dernier. Il a habituellement un teint plus foncé, même parfois bleuté.</p>","<div>Le sapin baumier est celui qui a la meilleure odeur et qui a les branches les plus denses (fournies). Le sapin fraser est celui qui a la meilleure rétention des épines et il a des branches plus rigides, mais sa forme est moins parfaite. Ses épines sont plus foncées que le baumier. Le cook est un croisement entre ces deux sapins, il est dense comme le baumier, mais il garde mieux ses épines que ce dernier. Il a habituellement un teint plus foncé, même parfois bleuté.</div>",2025-06-29 22:30:39.561167
aYxLYbaLRPmasIjYXReV4w,sap-difference-qualite,"Quelles sont les différences entre les qualités de sapin? (premium, #1 #2 et Sauvageon)?","Quelles sont les différences entre les qualités de sapin? (premium, #1 #2 et Sauvageon)?","<p>Le sapin de qualité premium est le sapin le plus uniforme, il est garni et ne présente pas d'irrégularités.<br/>Le sapin de qualité #1 est un sapin cultivé et bien garni, il aura quelques légères irrégularités, mais dans son ensemble il est quand même très beau.<br/>Le sapin de qualité #2 est un sapin non régulier, il a un look plus naturel.<br/>Le sapin sauvageon est un sapin qui n'a pas été taillé, alors il est très irrégulier et il a peu de branches. </p>","<div>Le sapin de qualité premium est le sapin le plus uniforme, il est garni et ne présente pas d&#39;irrégularités.<br/>​</div><div>Le sapin de qualité #1 est un sapin cultivé et bien garni, il aura quelques légères irrégularités, mais dans son ensemble il est quand même très beau.<br/>​</div><div>Le sapin de qualité #2 est un sapin non régulier, il a un look plus naturel.<br/>​</div><div>Le sapin sauvageon est un sapin qui n&#39;a pas été taillé, alors il est très irrégulier et il a peu de branches.</div>",2025-06-29 22:30:39.561167
9wMga2iLThmnRklWGXtf-Q,sap-largeur,Quelle est la largeur d'un sapin?,Quelle est la largeur d'un sapin?,"<p>La largeur d'un sapin correspond environ à la moitié de sa hauteur. Alors, par exemple, un sapin de 6 à 7 pieds aura environ 3 à 3.5 pieds de large.</p>","<div>La largeur d&#39;un sapin correspond environ à la moitié de sa hauteur. Alors, par exemple, un sapin de 6 à 7 pieds aura environ 3 à 3.5 pieds de large.</div>",2025-06-29 22:30:39.561167
-CdTLEBPQq-GMTKriK9blQ,sap-grandeur-precise,"Je voudrais avoir un sapin de 7 pieds 11'', quelle catégorie devrais-je prendre?","Je voudrais avoir un sapin de 7 pieds 11'', quelle catégorie devrais-je prendre?","<p>Nous ne pouvons pas garantir une grandeur fixe de sapin, car ce serait trop difficile à gérer. Dans la catégorie 7-8 pieds, par exemple, vous pouvez recevoir un sapin de 7'1'' à 8'. Si vous désirez avoir un sapin de 7'11'', nous vous conseillons de choisir la taille 8-9 pieds et de laisser une note de livraison en passant votre commande pour indiquer au livreur de le couper à la livraison afin d’avoir un sapin de 7 pieds 11 pouces.</p>","<div>Nous ne pouvons pas garantir une grandeur fixe de sapin, car ce serait trop difficile à gérer. Dans la catégorie 7-8 pieds, par exemple, vous pouvez recevoir un sapin de 7&#39;1&#39;&#39; à 8&#39;. Si vous désirez avoir un sapin de 7&#39;11&#39;&#39;, nous vous conseillons de choisir la taille 8-9 pieds et de laisser une note de livraison en passant votre commande pour indiquer au livreur de le couper à la livraison afin d’avoir un sapin de 7 pieds 11 pouces.</div>",2025-06-29 22:30:39.561167
PMJyVz1rShaL-airUfZ9eA,sap-grandeur-sauvageon,Est-ce que je peux commander un Sauvageon de 10 pieds?,Est-ce que je peux commander un Sauvageon de 10 pieds?,<p>Les sauvageons ont entre 6 et 8 pieds. Remarquez également qu'il n'est pas possible de choisir une grandeur fixe pour un sapin.</p>,<div>Les sauvageons ont entre 6 et 8 pieds. Remarquez également qu&#39;il n&#39;est pas possible de choisir une grandeur fixe pour un sapin.</div>,2025-06-29 22:30:39.561167
rUr5lFlzTpaN-7qHx2zhIg,sap-duree,Combien de temps mon sapin restera beau?,Combien de temps mon sapin restera beau?,"<p>Un sapin qui est installé à l'extérieur sera beau jusqu'au printemps. Un sapin dans une maison sera beau 3-4 semaines s'il ne manque pas d'eau et s'il n'est pas près d'une source de chaleur. Pour plus de trucs pour faire durer votre sapin, consultez notre article de blogue <a href=""/blogs/blogue/5-conseils-pour-faire-durer-votre-sapin"" title=""5 conseils pour faire durer votre sapin"">5 conseils pour faire durer votre sapin</a>.</p>","<div>Un sapin qui est installé à l&#39;extérieur sera beau jusqu&#39;au printemps. Un sapin dans une maison sera beau 3-4 semaines s&#39;il ne manque pas d&#39;eau et s&#39;il n&#39;est pas près d&#39;une source de chaleur. Pour plus de trucs pour faire durer votre sapin, consultez notre article de blogue <a href=""https://www.bosapin.com/blogs/blogue/5-conseils-pour-faire-durer-votre-sapin"" rel=""noopener noreferrer nofollow"" target=""_blank"">5 conseils pour faire durer votre sapin</a>.</div>",2025-06-29 22:30:39.561167
9JuYZT3WQdi_sacbw7cNTw,sap-fraicheur,Quelle est la fraîcheur des arbres?,Quelle est la fraîcheur des arbres?,"<p>Puisque nous sommes producteurs des sapins que nous distribuons, nous coupons seulement les arbres dont nous avons besoin. De plus, votre arbre sera coupé entre la mi-novembre et début décembre et il sera conservé au frais. Cela vous assure d'une meilleure qualité et fraicheur que nos compétiteurs.</p>","<div>Puisque nous sommes producteurs des sapins que nous distribuons, nous coupons seulement les arbres dont nous avons besoin. De plus, votre arbre sera coupé entre la mi-novembre et début décembre et il sera conservé au frais. Cela vous assure d&#39;une meilleure qualité et fraicheur que nos compétiteurs.</div>",2025-06-29 22:30:39.561167
r0es-Rd0QACe1hpVMpDLmA,sap-ecolo,Est-il écologique d'acheter un arbre naturel au lieu d'un arbre artificiel?,Est-il écologique d'acheter un arbre naturel au lieu d'un arbre artificiel?,"<p>Contrairement aux sapins naturels, les arbres artificiels ne peuvent pas être recyclés ou convertis en compost. En outre, les PVC et le plomb que contiennent les sapins artificiels restent dans les sites d'enfouissement durant plusieurs générations. De plus, chaque hectare d'arbres de Noël produit assez d'oxygène pour répondre aux besoins de 40 à 45 personnes. Pour découvrir d'autres raisons qui font que le sapin naturel est le choix le plus écologique, consultez notre article de blogue <a href=""/blogs/blogue/avantages-ecologiques-de-commander-un-bosapin"" title=""Avantages écologiques de commander un Bôsapin"">Avantages écologiques de commander un Bôsapin</a>.</p>","<div>Contrairement aux sapins naturels, les arbres artificiels ne peuvent pas être recyclés ou convertis en compost. En outre, les PVC et le plomb que contiennent les sapins artificiels restent dans les sites d&#39;enfouissement durant plusieurs générations. De plus, chaque hectare d&#39;arbres de Noël produit assez d&#39;oxygène pour répondre aux besoins de 40 à 45 personnes. Pour découvrir d&#39;autres raisons qui font que le sapin naturel est le choix le plus écologique, consultez notre article de blogue <a href=""https://www.bosapin.com/blogs/blogue/avantages-ecologiques-de-commander-un-bosapin"" rel=""noopener noreferrer nofollow"" target=""_blank"">Avantages écologiques de commander un Bôsapin</a>.</div>",2025-06-29 22:30:39.561167
